claim_id,document,section,paragraph_index,claim_text,claim_type,evidence_type,evidence_path,evidence_key,reported_value,computed_value,status,required_action,notes
ABS-001,manuscript,Abstract Methods,1,"weekly or monthly mortality over forty European countries, fifty US states, and Canadian provinces (2000-2024)",scope,contract_and_registry,"config/manuscript_analysis_contract.yml;config/europe_reporting_cohort.csv;config/us_reporting_cohort.csv",scope.reporting_counts,"over 40 Europe; 50 US states; 2000-2024","35 European reporting geographies; 50 states plus DC; 10 mapped Canadian provinces; source-specific periods",requires_manuscript_edit,"Replace the broad count and date wording with exact source-specific scope; distinguish the Figure 3 map scope from the complete US cohort.","The adopted European reporting cohort has 35 geographies and the US registry has 51 jurisdictions including DC."
ABS-002,manuscript,Abstract Methods,1,"initial, Alpha, Delta, and Omicron wave date ranges",date_range,contract,"config/manuscript_analysis_contract.yml",contract.waves,"four date ranges","initial [2020-03-01,2020-11-01); alpha [2020-11-01,2021-07-01); delta [2021-07-01,2022-01-01); omicron [2022-01-01,regional endpoint]",verified_exact,,"Already corrected in tracked manuscript."
ABS-003,manuscript,Abstract Findings,2,"P-scores frequently exceeded 40% among individuals aged 80 years or older",threshold,unsupported,"",,"greater than 40% in age 80+",,unsupported_remove_or_reproduce,"Remove or regenerate a frozen GE80/GE85 summary supporting this threshold; current adopted Figures 2-5 and Table 1 do not estimate this statement.","Do not infer from historical plots."
ABS-004,manuscript,Abstract Findings,2,"high-vaccination areas generally maintained near-zero P-scores during Alpha and Delta",comparison,frozen_trajectory,"output/reporting/inputs/figure_04_vaccination_pscore.csv",figure04.high.alpha_delta,"near zero","Europe high 40-79 medians: Alpha 0.080 and Delta 0.080; US high 40-79 Delta median 0.212",requires_manuscript_edit,"Replace near-zero with a directionally accurate statement and report region-, age-, and wave-specific values only.","The US high-vaccination Delta trajectory is not near zero."
ABS-005,manuscript,Abstract Findings,2,"low-vaccination areas experienced increases of approximately 50%",threshold,frozen_trajectory,"output/reporting/inputs/figure_04_vaccination_pscore.csv",figure04.low.peaks,"approximately 50%","Delta maxima range from 0.613 to 1.160 across displayed US ages and 0.660 to 0.862 across displayed European combined ages/waves",requires_manuscript_edit,"Specify the panel, wave, age group, and whether the value is a pointwise maximum or median; do not retain a single approximate 50% summary.","The current wording mixes estimands."
ABS-006,manuscript,Abstract Findings,2,"male P-scores were generally 5-15 percentage points higher",difference,frozen_trajectory,"output/reporting/inputs/figure_05_sex_difference.csv",figure05.sex_difference,"male 5-15 percentage points higher","many pooled medians are within about -6 to +10 percentage points and some Delta contrasts reverse sign",requires_manuscript_edit,"Replace the universal 5-15 percentage-point range with wave-, age-, and vaccination-group-specific female-minus-male contrasts.","Figure 5 uses female minus male; negative values indicate higher male P-scores."
ABS-007,manuscript,Abstract Findings,2,"female P-scores aged 40-79 were comparable to or higher than male P-scores in Eastern Europe but weaker in the US",direction,frozen_trajectory,"output/reporting/inputs/figure_05_sex_difference.csv",figure05.sex_direction,"Europe female comparable or higher; US weaker","European low-vaccination Delta median female-minus-male is positive; US patterns vary by age and wave",supported_qualitatively,,"Retain as a descriptive pattern and avoid a mechanistic interpretation."
MTH-001,manuscript,Methods Vaccination groups,1,"European high group omitted Portugal and low group included Poland; US high group included California and New York and low group included Arkansas and Texas",classification,registry,"config/europe_reporting_cohort.csv;config/us_reporting_cohort.csv",vaccination.full_cohorts,"Portugal omitted; Poland low; California and New York high; Arkansas and Texas low","Portugal is high and Poland is neither in Europe; California, New York, Arkansas, and Texas are neither in the US",requires_manuscript_edit,"Use the exact output-specific frozen cohorts and exclude all jurisdictions classified as neither from pooled high-versus-low comparisons.","Figure 4 and Figure 5 use different frozen US high cohorts; both exclude California and New York."
RES-001,manuscript,Results Geographic patterns,1,"Delta wave (July-December 2021)",date_range,contract,"config/manuscript_analysis_contract.yml",contract.wave.delta,"July-December 2021","[2021-07-01,2022-01-01)",verified_exact,,"Calendar-month prose matches the half-open interval."
RES-002,manuscript,Results Geographic patterns,1,"Romania, Bulgaria, Slovakia and Serbia experienced increases in both 40-59 and 60-79 age groups",direction,frozen_map,"output/reporting/inputs/figure_02_europe_maps.rds",figure02.delta.named_europe,"named countries elevated in both age groups","Delta P-scores: BG 0.637/0.616; RS 0.460/0.524; RO 0.333/0.477; SK 0.334/0.331 for ages 40-59/60-79",verified_rounded,,"Values are frozen Figure 2 map medians."
